Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer
					
IRLB8743PBF	Q1,Q2,Q3,Q4	TO-220(TO-220-3)	4	IRLB8743PBF	IR
100	R1,R4,R7,R12	R1206_1	4	RT1206FRE07100RL	
220	R2,R5,R8,R11	R1206_1	4	RT1206FRE07220RL	
100K	R3,R6,R10,R13	R1206_1	4	RT1206FRE07100KL	
NTCS0805E3103JHT	R9	R0805	1	NTCS0805E3103JHT	Vishay Intertech
TWW5J1R0E	U1,U2,U3,U6,U7,U8,U12,U13,U14,U17,U18,U19	RES-TH_L12.5-W9.0-P5.00-D1.2	12	TWW5J1R0E	Ohmite
SM0805YCL	U4,U9,U15,U20	LED0805-RD	4	SM0805YCL	
FOD817A300	U5,U10,U16,U21	DIP-4	4	FOD817A300	
